1.786018        0.011490
2.181841        0.016006
4.549311        -0.012004
1.243323        -0.015550
1.547928        0.003978
2.663075        0.014524
3.647787        0.002324
1.721476        0.009921
1.232461        -0.016553
4.393592        -0.009476
2.197722        0.016050
3.209365        0.008582
4.929865        -0.018184
2.076688        0.015491
2.360873        0.016077
1.321724        -0.009050
2.426447        0.015894
4.411101        -0.009760
2.791130        0.013414
3.040220        0.010716

