1.786018        -0.007743
2.181841        -0.001651
4.549311        0.008071
1.243323        0.002551
1.547928        -0.009807
2.663075        0.004013
3.647787        0.008590
1.721476        -0.008605
1.232461        0.003823
4.393592        0.008353
2.197722        -0.001422
3.209365        0.007473
4.929865        0.007144
2.076688        -0.003228
2.360873        0.000771
1.321724        -0.004167
2.426447        0.001566
4.411101        0.008325
2.791130        0.005078
3.040220        0.006687

